Hours Studies,Attendance,Sleep Hours,Parental Education,Extra Activities,Previous Score,Result (Pass/Fail)
7.6,60,5.6,Undergraduate,Yes,36,Pass
1.8,62,8.9,Undergraduate,Yes,42,Fail
8.9,85,5.4,Postgraduate,Yes,54,Pass
7.9,93,7.5,Postgraduate,Yes,77,Pass
2.1,73,5.0,High School,Yes,42,Fail
5.2,60,9.5,Diploma,Yes,39,Fail
5.1,85,6.5,Postgraduate,Yes,47,Pass
5.9,99,9.0,PhD,No,38,Pass
4.0,74,8.2,Postgraduate,Yes,70,Pass
6.4,96,6.1,Postgraduate,Yes,84,Pass
3.2,52,7.3,High School,Yes,78,Fail
7.5,81,9.0,High School,Yes,59,Pass
2.8,77,9.2,Undergraduate,Yes,45,Fail
1.5,69,8.0,Diploma,Yes,79,Fail
8.2,95,9.5,High School,Yes,40,Pass
2.4,58,7.8,PhD,Yes,92,Pass
3.8,79,8.0,Postgraduate,Yes,76,Pass
4.2,68,6.8,Diploma,No,82,Pass
5.8,76,8.1,High School,No,73,Pass
4.7,90,6.6,Diploma,Yes,75,Pass
6.6,58,5.3,PhD,Yes,42,Fail
7.0,52,7.1,Undergraduate,No,60,Pass
2.6,74,6.3,Undergraduate,No,67,Fail
3.0,75,4.9,Diploma,No,72,Fail
7.4,77,6.6,PhD,Yes,45,Pass
2.2,83,5.3,High School,No,96,Fail
9.6,55,5.1,Postgraduate,Yes,81,Pass
1.8,60,7.9,Undergraduate,Yes,64,Fail
6.1,54,8.2,Postgraduate,No,79,Pass
3.8,71,6.2,PhD,No,94,Pass
0.5,90,7.9,Postgraduate,No,45,Fail
8.8,59,7.3,Undergraduate,Yes,43,Pass
6.7,55,8.8,Undergraduate,No,35,Fail
2.1,73,8.0,High School,No,37,Fail
5.5,81,8.1,High School,No,46,Fail
6.9,56,8.4,Undergraduate,No,44,Fail
8.5,68,8.5,Undergraduate,Yes,52,Pass
6.8,66,5.4,PhD,Yes,55,Pass
5.7,99,6.4,Diploma,No,92,Pass
2.6,64,6.6,Undergraduate,Yes,37,Fail
6.7,70,6.9,Undergraduate,No,36,Fail
2.4,81,8.7,Postgraduate,Yes,83,Pass
8.0,68,9.0,Undergraduate,Yes,45,Pass
9.5,75,7.0,High School,Yes,75,Pass
8.7,84,7.8,PhD,No,75,Pass
6.2,73,5.3,Postgraduate,No,95,Pass
4.0,66,9.0,High School,No,69,Fail
4.0,87,8.0,Diploma,Yes,47,Pass
1.6,63,6.2,Undergraduate,No,93,Fail
9.7,60,7.9,Undergraduate,No,75,Pass
10.0,75,5.2,Postgraduate,No,81,Pass
5.9,66,5.1,PhD,Yes,89,Pass
6.5,98,7.7,High School,Yes,96,Pass
1.9,54,9.0,Diploma,No,56,Fail
2.5,53,5.7,Undergraduate,Yes,75,Fail
7.8,77,7.2,Diploma,No,59,Pass
3.2,52,5.3,Diploma,No,47,Fail
8.9,58,8.7,Undergraduate,Yes,64,Pass
2.4,62,8.3,Diploma,No,91,Fail
4.0,50,7.0,Undergraduate,Yes,87,Fail
6.6,54,5.4,Undergraduate,Yes,70,Fail
7.5,93,8.0,Diploma,No,51,Pass
5.7,53,8.5,Diploma,Yes,67,Pass
8.2,53,7.0,Undergraduate,No,87,Pass
7.2,63,8.7,Undergraduate,Yes,49,Pass
8.8,96,6.3,Postgraduate,Yes,58,Pass
1.5,93,7.9,Undergraduate,Yes,55,Fail
2.6,67,5.1,High School,No,50,Fail
3.4,83,8.2,High School,Yes,44,Fail
6.7,69,5.6,High School,No,82,Pass
3.6,55,6.7,High School,Yes,49,Fail
8.2,52,4.5,Undergraduate,No,49,Fail
1.1,54,5.6,PhD,Yes,91,Fail
5.8,65,6.2,Undergraduate,No,92,Pass
3.7,51,9.0,Undergraduate,Yes,97,Pass
9.9,90,8.5,Postgraduate,No,94,Pass
4.0,67,6.0,PhD,No,46,Fail
7.2,65,6.4,Undergraduate,Yes,74,Pass
1.7,64,6.7,Diploma,Yes,98,Fail
1.4,54,6.8,PhD,Yes,64,Fail
3.5,81,7.3,Postgraduate,No,84,Pass
5.6,97,6.5,Undergraduate,Yes,79,Pass
1.6,64,8.5,High School,Yes,57,Fail
8.9,60,7.8,Postgraduate,Yes,42,Pass
9.5,88,8.3,High School,Yes,75,Pass
2.0,88,5.1,Postgraduate,Yes,88,Pass
1.7,72,8.2,High School,No,47,Fail
3.7,64,7.4,Undergraduate,Yes,46,Fail
1.5,73,5.9,Postgraduate,Yes,84,Pass
4.4,78,7.3,Undergraduate,No,81,Pass
1.1,66,8.5,Postgraduate,No,48,Fail
5.0,98,4.7,Undergraduate,No,63,Pass
8.5,76,8.5,High School,No,48,Pass
3.8,85,8.6,Diploma,Yes,47,Fail
0.6,71,6.6,Undergraduate,No,50,Fail
6.3,70,8.3,Diploma,Yes,86,Pass
8.7,95,6.0,Postgraduate,Yes,90,Pass
5.1,87,8.9,Undergraduate,No,76,Pass
4.3,82,9.0,Diploma,No,36,Fail
2.0,95,7.8,Postgraduate,No,75,Pass
1.7,72,4.8,Postgraduate,No,99,Fail
8.3,65,6.3,Diploma,Yes,67,Pass
7.7,76,9.0,Undergraduate,Yes,59,Pass
0.8,50,6.2,Postgraduate,No,69,Fail
5.1,66,7.5,Undergraduate,No,81,Pass
5.2,64,9.5,Diploma,Yes,92,Pass
4.0,53,9.0,Undergraduate,No,85,Fail
5.3,67,4.6,Postgraduate,Yes,86,Pass
1.8,93,6.9,Undergraduate,No,86,Pass
7.5,93,5.3,Postgraduate,Yes,94,Pass
2.4,88,6.2,Postgraduate,Yes,48,Fail
4.5,90,9.4,Diploma,Yes,77,Pass
4.1,94,7.6,High School,Yes,50,Pass
6.0,96,6.5,Diploma,No,49,Pass
8.9,81,7.1,High School,Yes,47,Pass
6.3,58,9.4,High School,Yes,74,Pass
2.6,82,6.0,PhD,Yes,56,Fail
5.4,88,8.4,Undergraduate,Yes,87,Pass
4.1,65,6.7,Undergraduate,No,92,Pass
6.6,83,9.3,Postgraduate,No,74,Pass
6.7,72,7.2,High School,Yes,90,Pass
1.6,76,6.3,Postgraduate,No,91,Pass
6.5,72,7.5,Postgraduate,No,43,Pass
0.9,66,8.3,Undergraduate,Yes,96,Fail
6.8,78,8.3,Diploma,Yes,83,Pass
1.6,100,7.7,Undergraduate,No,97,Pass
2.7,65,8.8,Diploma,No,42,Fail
0.7,69,7.0,Undergraduate,Yes,76,Fail
4.7,59,7.2,Undergraduate,No,35,Fail
6.8,76,7.5,PhD,No,63,Pass
2.7,95,6.6,Postgraduate,Yes,86,Pass
6.6,71,6.1,Undergraduate,Yes,82,Pass
8.0,92,5.0,Postgraduate,Yes,57,Pass
1.5,81,8.6,Postgraduate,No,80,Fail
8.4,99,7.9,Undergraduate,Yes,86,Pass
2.6,71,8.4,PhD,Yes,89,Pass
9.0,97,4.9,Postgraduate,Yes,44,Pass
4.0,55,7.9,Undergraduate,No,71,Fail
8.5,93,7.3,Undergraduate,Yes,78,Pass
6.2,60,7.5,Diploma,Yes,52,Pass
8.1,61,5.9,Undergraduate,Yes,47,Pass
7.3,97,6.5,Undergraduate,No,99,Pass
4.4,77,9.1,Postgraduate,Yes,60,Pass
9.2,93,7.2,Undergraduate,Yes,57,Pass
9.0,54,5.5,Diploma,Yes,77,Pass
4.6,55,8.6,Undergraduate,No,87,Pass
8.5,76,8.7,Undergraduate,No,63,Pass
3.9,71,5.4,Diploma,Yes,85,Pass
4.2,86,8.7,Undergraduate,No,70,Pass
4.5,68,6.3,Diploma,No,65,Fail
3.6,58,5.2,Undergraduate,No,65,Fail
5.8,87,8.7,Undergraduate,Yes,92,Pass
9.9,60,7.0,PhD,No,65,Pass
7.0,84,4.7,Undergraduate,No,71,Pass
6.0,98,7.5,Diploma,No,72,Pass
3.8,60,8.1,Diploma,Yes,71,Fail
6.7,73,8.9,Postgraduate,No,83,Pass
3.2,91,7.8,Undergraduate,No,42,Fail
1.1,74,6.1,Diploma,No,46,Fail
1.2,51,7.4,Postgraduate,Yes,92,Fail
9.0,74,9.3,High School,Yes,95,Pass
3.6,97,5.2,High School,No,53,Fail
4.6,72,5.1,Diploma,Yes,91,Pass
2.5,59,8.4,Diploma,No,40,Fail
0.8,78,8.2,Undergraduate,Yes,49,Fail
7.7,81,8.6,Undergraduate,No,97,Pass
9.4,77,5.2,PhD,No,41,Pass
4.0,96,7.5,High School,Yes,66,Pass
2.0,74,7.0,Postgraduate,No,43,Fail
1.7,86,9.5,PhD,No,72,Fail
9.8,85,5.8,High School,Yes,56,Pass
4.7,68,7.9,Diploma,Yes,74,Pass
1.0,90,8.6,Postgraduate,Yes,59,Fail
3.3,64,7.7,Undergraduate,No,46,Fail
0.8,65,5.7,Postgraduate,Yes,74,Fail
1.2,67,9.4,Undergraduate,No,100,Fail
2.2,55,7.4,Undergraduate,No,44,Fail
6.8,81,5.0,Undergraduate,No,88,Pass
6.0,60,8.0,PhD,No,57,Pass
8.1,54,6.4,Undergraduate,Yes,90,Pass
10.0,86,7.0,Postgraduate,No,78,Pass
4.2,85,5.0,Diploma,No,54,Fail
1.6,81,9.1,High School,Yes,67,Fail
9.4,59,9.0,Undergraduate,Yes,88,Pass
9.0,60,4.8,Undergraduate,Yes,51,Pass
2.5,88,7.3,Diploma,No,74,Pass
8.4,64,9.4,Undergraduate,Yes,96,Pass
5.2,77,4.6,Undergraduate,No,57,Fail
7.1,91,7.8,Postgraduate,No,94,Pass
8.0,76,7.6,High School,No,70,Pass
4.2,99,6.3,PhD,Yes,98,Pass
4.0,52,7.7,Postgraduate,Yes,50,Fail
9.9,75,6.0,Undergraduate,Yes,79,Pass
3.2,75,6.3,Postgraduate,Yes,60,Fail
0.9,71,7.1,Postgraduate,Yes,95,Pass
3.5,74,6.8,Diploma,Yes,84,Pass
4.7,87,7.4,Diploma,Yes,75,Pass
3.6,83,9.1,Undergraduate,No,45,Fail
7.9,52,5.8,Postgraduate,Yes,81,Pass
4.6,77,9.5,Undergraduate,Yes,68,Pass
5.6,61,9.4,PhD,Yes,56,Pass
2.9,86,6.7,Postgraduate,No,76,Pass
7.8,96,5.7,Postgraduate,No,100,Pass
2.2,98,7.0,Undergraduate,Yes,73,Pass
8.4,65,5.8,High School,No,82,Pass
3.9,94,7.5,Undergraduate,No,88,Pass
3.8,70,8.9,Postgraduate,Yes,53,Fail
7.3,57,9.1,Diploma,Yes,96,Pass
6.7,61,9.4,Postgraduate,No,84,Pass
1.0,94,7.9,Diploma,No,92,Pass
6.1,73,6.7,Diploma,No,92,Pass
2.3,97,5.3,PhD,Yes,83,Pass
6.6,95,8.0,Diploma,Yes,73,Pass
2.6,90,6.6,Diploma,Yes,72,Pass
4.0,76,9.1,Diploma,No,55,Fail
5.0,98,5.3,Postgraduate,No,47,Pass
6.7,62,9.1,High School,Yes,56,Pass
2.3,83,7.0,Undergraduate,Yes,91,Pass
6.3,59,6.4,PhD,Yes,74,Pass
1.7,58,5.7,Diploma,Yes,71,Fail
4.6,83,5.6,Undergraduate,No,75,Pass
2.7,100,5.0,Postgraduate,No,96,Pass
8.8,70,8.2,PhD,No,40,Pass
2.6,76,7.6,Undergraduate,No,52,Fail
8.1,88,6.6,Undergraduate,No,68,Pass
5.3,78,7.2,PhD,Yes,94,Pass
3.3,54,6.3,Undergraduate,Yes,52,Fail
9.7,69,5.1,Diploma,Yes,62,Pass
6.5,82,9.4,High School,Yes,97,Pass
9.3,90,7.0,High School,Yes,96,Pass
2.2,69,6.2,Diploma,No,85,Fail
3.0,80,4.6,Diploma,No,37,Fail
4.6,88,6.7,Undergraduate,Yes,96,Pass
6.0,85,7.7,Diploma,Yes,49,Pass
5.1,88,7.4,Postgraduate,No,62,Pass
6.6,83,9.3,Undergraduate,Yes,67,Pass
5.5,70,9.5,Undergraduate,No,47,Fail
5.1,85,4.6,Diploma,Yes,94,Pass
2.6,98,8.9,High School,No,58,Fail
3.3,81,5.8,Postgraduate,Yes,68,Pass
8.0,51,6.5,High School,No,81,Pass
6.5,90,5.1,Undergraduate,Yes,78,Pass
8.9,73,5.2,Undergraduate,Yes,46,Pass
6.4,74,5.5,High School,Yes,37,Fail
7.1,75,7.2,Postgraduate,No,79,Pass
5.7,67,7.1,Undergraduate,Yes,53,Pass
2.9,85,7.5,PhD,No,41,Fail
6.6,57,7.7,High School,Yes,86,Pass
1.3,64,9.1,Undergraduate,Yes,64,Fail
0.6,58,7.4,Postgraduate,Yes,90,Fail
6.8,92,5.8,Undergraduate,No,35,Pass
8.7,84,5.8,Undergraduate,Yes,48,Pass
5.4,81,6.1,Undergraduate,No,60,Pass
7.5,92,5.6,High School,Yes,82,Pass
9.2,53,6.1,Undergraduate,No,73,Pass
2.6,70,7.3,High School,No,83,Fail
6.0,74,6.9,Postgraduate,No,44,Pass
7.5,74,6.9,PhD,No,100,Pass
0.9,77,6.7,Undergraduate,Yes,70,Fail
4.4,65,5.2,Postgraduate,No,78,Fail
5.2,94,9.0,Undergraduate,No,40,Pass
2.3,60,5.5,Postgraduate,No,60,Fail
9.1,82,5.5,Postgraduate,No,36,Pass
5.6,82,5.9,Diploma,No,46,Pass
7.9,80,9.1,Diploma,No,87,Pass
1.3,84,8.3,Postgraduate,No,73,Fail
8.1,89,8.2,High School,Yes,57,Pass
4.4,54,6.2,Postgraduate,Yes,82,Pass
7.7,81,5.6,PhD,No,88,Pass
2.3,74,9.4,Undergraduate,No,72,Fail
2.7,60,6.5,Undergraduate,Yes,82,Fail
5.7,62,8.8,Undergraduate,Yes,83,Pass
6.0,71,6.7,Undergraduate,Yes,93,Pass
9.6,64,8.0,Postgraduate,No,88,Pass
3.3,70,4.8,Undergraduate,No,48,Fail
6.7,91,7.0,High School,Yes,94,Pass
1.2,71,4.5,Undergraduate,No,88,Fail
2.9,55,9.3,Undergraduate,Yes,98,Pass
9.8,86,5.6,Diploma,No,82,Pass
6.8,82,7.3,PhD,Yes,63,Pass
7.0,76,6.8,High School,Yes,68,Pass
6.8,73,5.9,Undergraduate,No,73,Pass
2.5,65,5.7,High School,Yes,38,Fail
6.0,58,7.2,Postgraduate,Yes,67,Pass
9.7,73,5.7,Diploma,Yes,52,Pass
7.0,61,8.7,PhD,No,82,Pass
2.7,96,7.8,High School,Yes,35,Fail
8.4,86,5.8,High School,No,79,Pass
6.2,71,4.7,Diploma,No,60,Fail
6.9,50,9.0,Undergraduate,No,70,Pass
6.9,52,8.1,Undergraduate,No,96,Pass
1.4,67,8.4,Undergraduate,Yes,67,Fail
7.3,85,5.9,Postgraduate,Yes,88,Pass
6.8,68,4.6,Postgraduate,No,95,Pass
9.2,89,9.2,High School,Yes,49,Pass
9.6,99,5.0,Postgraduate,No,73,Pass
9.5,67,6.5,Undergraduate,No,74,Pass
9.9,91,6.0,Diploma,No,41,Pass
6.0,74,6.1,Postgraduate,No,85,Pass
7.7,54,4.7,Undergraduate,Yes,69,Pass
1.9,59,8.5,Undergraduate,Yes,37,Fail
2.5,91,5.2,High School,Yes,98,Pass
9.9,88,9.1,PhD,Yes,43,Pass
8.0,96,9.1,Undergraduate,No,98,Pass
5.7,55,9.3,Undergraduate,No,91,Pass
7.2,66,6.3,Undergraduate,Yes,38,Pass
3.9,96,8.3,PhD,No,83,Pass
6.3,87,5.9,Undergraduate,No,77,Pass
7.5,77,6.4,Postgraduate,No,57,Pass
8.2,97,4.5,High School,No,99,Pass
7.0,79,7.1,Undergraduate,Yes,96,Pass
9.3,58,8.3,Undergraduate,Yes,65,Pass
3.6,70,6.9,Undergraduate,No,58,Fail
3.2,88,7.8,High School,Yes,66,Pass
3.1,58,8.7,High School,Yes,48,Fail
6.7,93,9.3,High School,Yes,86,Pass
3.4,67,9.1,Diploma,No,73,Fail
3.5,93,9.4,Diploma,No,45,Fail
3.7,53,5.8,Undergraduate,No,68,Fail
5.3,85,8.6,PhD,Yes,90,Pass
2.3,95,6.6,PhD,Yes,57,Pass
4.6,96,4.7,Undergraduate,No,92,Pass
1.3,51,5.2,High School,No,53,Fail
3.2,57,4.8,PhD,Yes,99,Fail
3.7,67,9.2,Postgraduate,No,38,Fail
3.9,100,5.1,Diploma,Yes,51,Pass
7.4,61,6.9,Diploma,Yes,39,Pass
4.5,87,7.0,High School,Yes,85,Pass
5.6,81,4.8,High School,Yes,94,Pass
2.9,56,9.5,Diploma,Yes,86,Fail
5.8,98,8.1,Diploma,No,94,Pass
3.4,94,5.8,Postgraduate,Yes,56,Pass
3.6,53,9.3,Diploma,Yes,41,Fail
5.0,62,5.5,Undergraduate,Yes,75,Pass
2.7,53,6.4,Postgraduate,No,99,Fail
1.7,93,6.4,Undergraduate,Yes,44,Fail
2.2,99,4.8,Undergraduate,No,45,Fail
6.8,80,5.8,Undergraduate,Yes,85,Pass
1.3,84,6.6,Diploma,No,69,Fail
8.5,54,6.6,Postgraduate,No,72,Pass
0.6,70,5.6,PhD,Yes,84,Fail
8.8,68,6.8,Postgraduate,Yes,43,Pass
8.9,87,6.3,Postgraduate,No,66,Pass
8.9,67,6.9,Undergraduate,No,47,Pass
8.8,71,7.2,Diploma,Yes,76,Pass
5.1,93,5.5,Undergraduate,Yes,86,Pass
4.3,81,9.3,High School,No,46,Fail
6.1,86,5.2,Undergraduate,Yes,73,Pass
4.0,78,7.7,Diploma,Yes,41,Fail
4.8,63,5.3,Diploma,Yes,71,Fail
2.5,55,4.6,Diploma,No,87,Fail
4.5,92,5.2,Undergraduate,Yes,74,Pass
1.3,61,5.2,Undergraduate,No,90,Fail
9.2,65,5.5,High School,No,48,Pass
6.2,84,8.9,Undergraduate,Yes,66,Pass
7.4,85,5.1,High School,No,72,Pass
3.2,50,5.8,Undergraduate,No,78,Fail
3.6,69,8.6,Undergraduate,No,96,Pass
8.2,73,4.5,Diploma,No,85,Pass
2.5,65,8.2,Postgraduate,Yes,71,Fail
8.0,75,7.6,Diploma,No,77,Pass
2.6,69,5.8,Diploma,Yes,39,Fail
5.5,92,8.7,Postgraduate,No,65,Pass
4.1,70,6.7,Diploma,Yes,47,Fail
8.1,58,7.0,Undergraduate,Yes,94,Pass
9.1,68,9.3,Undergraduate,No,58,Pass
9.9,61,8.1,Diploma,No,63,Pass
2.2,61,4.9,Undergraduate,Yes,70,Fail
8.9,76,7.6,PhD,No,67,Pass
6.3,100,7.9,Diploma,No,51,Pass
9.2,94,6.4,Undergraduate,Yes,65,Pass
6.3,61,7.0,PhD,Yes,74,Pass
6.7,52,6.3,Undergraduate,No,84,Pass
6.3,100,4.9,PhD,No,79,Pass
8.5,50,5.4,High School,No,65,Fail
1.6,71,9.3,Undergraduate,No,44,Fail
1.1,68,7.0,PhD,No,41,Fail
8.5,81,6.8,Undergraduate,Yes,65,Pass
6.5,69,6.3,PhD,No,67,Pass
9.8,68,9.4,High School,No,96,Pass
1.9,63,7.4,Undergraduate,Yes,47,Fail
3.6,60,5.0,Undergraduate,No,78,Fail
3.3,60,5.4,Postgraduate,No,48,Fail
8.1,61,6.4,PhD,Yes,43,Pass
1.4,99,8.6,PhD,Yes,38,Fail
8.8,93,7.5,Undergraduate,No,68,Pass
6.0,81,8.4,Diploma,No,67,Pass
1.6,65,5.9,Postgraduate,Yes,81,Fail
2.4,58,9.4,High School,No,87,Fail
1.4,51,7.9,Diploma,No,57,Fail
4.1,78,9.2,Postgraduate,No,96,Pass
5.4,75,4.6,Undergraduate,No,86,Pass
9.9,78,5.7,Undergraduate,Yes,72,Pass
6.3,87,8.7,High School,No,80,Pass
5.7,50,7.8,Diploma,No,47,Fail
2.5,53,5.8,Undergraduate,No,46,Fail
9.7,96,6.6,PhD,Yes,43,Pass
9.3,98,9.2,Undergraduate,Yes,58,Pass
9.2,51,9.0,Postgraduate,No,59,Pass
6.6,64,8.6,Undergraduate,Yes,66,Pass
2.7,95,4.6,High School,Yes,62,Fail
5.5,78,6.4,Postgraduate,Yes,74,Pass
8.0,71,6.4,Diploma,No,61,Pass
1.1,79,5.7,High School,Yes,51,Fail
3.7,55,5.2,PhD,No,73,Fail
4.9,62,5.9,Diploma,No,68,Fail
